Uploaded to Postgres DB,Uploaded to popchange-data.liverpool.ac.uk,Percentage,Complete,Category,Name,Year,Table Number,Column Number,Denominator,Input File Name,Column Code,ColumnCode Length,Notes,Output Filename
,,20161017,x,Tenure,All permanent,1991,SAS 20,s200001,,1991-OA-attributes-sas20.csv,TPerm1,6,,5a_ascii_grid1991_Tenure_TPerm1
,,20161017,x,Tenure,Owner occupied – owned outright,1991,SAS 20,s200002,,1991-OA-attributes-sas20.csv,TOwnOc2,7,,5a_ascii_grid1991_Tenure_TOwnOc2
,,20161017,x,Tenure,Owner occupied – buying,1991,SAS 20,s200003,,1991-OA-attributes-sas20.csv,TOwnOc3,7,,5a_ascii_grid1991_Tenure_TOwnOc3
,,20161017,x,Tenure,Rented privately – furnished,1991,SAS 20,s200004,,1991-OA-attributes-sas20.csv,TRentFu4,8,,5a_ascii_grid1991_Tenure_TRentFu4
,,20161017,x,Tenure,Rented privately – unfurnished,1991,SAS 20,s200005,,1991-OA-attributes-sas20.csv,TRentUF5,8,,5a_ascii_grid1991_Tenure_TRentUF5
,,20161017,x,Tenure,Rented with a job or business,1991,SAS 20,s200006,,1991-OA-attributes-sas20.csv,TRentJb6,8,,5a_ascii_grid1991_Tenure_TRentJb6
,,20161017,x,Tenure,Rented from housing association,1991,SAS 20,s200007,,1991-OA-attributes-sas20.csv,TRentHA7,8,,5a_ascii_grid1991_Tenure_TRentHA7
,,20161017,x,Tenure,Rented from Local Authority,1991,SAS 20,s200008,,1991-OA-attributes-sas20.csv,TRentLA8,8,Scotland combines 8 & 9,5a_ascii_grid1991_Tenure_TRentLA8
,,20161017,x,Tenure,Non-permanent accommodation,1991,SAS 20,s200009,,1991-OA-attributes-sas20.csv,TNPerm9,7,Is 10 in Scotland,5a_ascii_grid1991_Tenure_TNPerm9
,,20161017,x,Tenure,No car,1991,SAS 20,s200010,,1991-OA-attributes-sas20.csv,TNoCar10,8,Is 11 in Scotland,5a_ascii_grid1991_Tenure_TNoCar10
,,20161017,x,Tenure,Total Households with residents,1981,SAS81 10,[81sas100929],,1981-OA-attributes-sas10,TAllHs29,8,,5a_ascii_grid1981_Tenure_TAllHs29.asc
,,20161017,x,Tenure,Total Permanent Households,1981,SAS81 10,[81sas100951],,1981-OA-attributes-sas10,TPerm51,7,,5a_ascii_grid1981_Tenure_TPerm51.asc
,,20161017,x,Tenure,Owner occupied – buying,1981,SAS81 10,[81sas100967],,1981-OA-attributes-sas10,TOwnOc67,8,,5a_ascii_grid1981_Tenure_TOwnOc67.asc
,,20161017,x,Tenure,"Council Housing etc.,",1981,SAS81 10,[81sas100983],,1981-OA-attributes-sas10,TCoun83,7,,5a_ascii_grid1981_Tenure_TCoun83.asc
,,20161017,x,Tenure,Housing Association,1981,SAS81 10,[81sas100999],,1981-OA-attributes-sas10,THouAs99,8,,5a_ascii_grid1981_Tenure_THouAs99.asc
,,20161017,x,Tenure,Household with Business,1981,SAS81 10,[81sas101015],,1981-OA-attributes-sas10,THouBs15,8,,5a_ascii_grid1981_Tenure_THouBs15.asc
,,20161017,x,Tenure,By Virtue of Employment,1981,SAS81 10,[81sas101031],,1981-OA-attributes-sas10,T031,4,,5a_ascii_grid1981_Tenure_T031.asc
,,20161017,x,Tenure,Other Rented: Unfurnished,1981,SAS81 10,[81sas101047],,1981-OA-attributes-sas10,TrentFu7,8,,5a_ascii_grid1981_Tenure_TrentFu7.asc
,,20161017,x,Tenure,Other Rented: Furnished,1981,SAS81 10,[81sas101063],,1981-OA-attributes-sas10,TRentUf3,8,,5a_ascii_grid1981_Tenure_TRentUf3.asc
,,20161017,x,Tenure,Non-permanent,1981,SAS81 10,[81sas101127],,1981-OA-attributes-sas10,TNPerm7,7,,5a_ascii_grid1981_Tenure_TNPerm7.asc
,,20161017,x,Tenure,All Households,2001,KS018,ks0180001,,2001-OA-attributes_ks018.csv,TAllHs1,7,,5a_ascii_grid2001_Tenure_TAllHs1.asc
,,20161017,x,Tenure,Owner occupied – owned outright,2001,KS018,ks0180002,,2001-OA-attributes_ks018.csv,TOnOwn2,7,,5a_ascii_grid2001_Tenure_TOnOwn2.asc
,,20161017,x,Tenure,Owner occupied – owns with a mortgage or loan,2001,KS018,ks0180003,,2001-OA-attributes_ks018.csv,TOnMot3,7,,5a_ascii_grid2001_Tenure_TOnMot3.asc
,,20161017,x,Tenure,Owner occupied – shared ownership,2001,KS018,ks0180004,,2001-OA-attributes_ks018.csv,TOnShd4,7,,5a_ascii_grid2001_Tenure_TOnShd4.asc
,,20161017,x,Tenure,Rented from Council / Local Authority,2001,KS018,ks0180005,,2001-OA-attributes_ks018.csv,TRentLA5,8,,5a_ascii_grid2001_Tenure_TRentLA5.asc
,,20161017,x,Tenure,Rented from housing association,2001,KS018,ks0180006,,2001-OA-attributes_ks018.csv,TRentHA6,8,,5a_ascii_grid2001_Tenure_TRentHA6.asc
,,20161017,x,Tenure,Rented from Private,2001,KS018,ks0180007,,2001-OA-attributes_ks018.csv,TRentPr7,8,"Scotland splits furnished and unfurnished (7&8), they are combined here (into 7)",5a_ascii_grid2001_Tenure_TRentPr7.asc
,,20161017,x,Tenure,Other Rented,2001,KS018,ks0180008,,2001-OA-attributes_ks018.csv,TRentOt8,8,Scotland renumbered from 9 to 8,5a_ascii_grid2001_Tenure_TRentOt8.asc
,,20161017,x,Tenure,All Households,2011,KS402,KS402EW0001,,2011-OA-attributes-ks402.CSV,TAllHs1,7,,5a_ascii_grid2011_Tenure_TAllHs1.asc
,,20161017,x,Tenure,Owner occupied – owned outright,2011,KS402,KS402EW0002,,2011-OA-attributes-ks402.CSV,TOnOwn2,7,,5a_ascii_grid2011_Tenure_TOnOwn2.asc
,,20161017,x,Tenure,Owner occupied – owns with a mortgage or loan,2011,KS402,KS402EW0003,,2011-OA-attributes-ks402.CSV,TOnMot3,7,,5a_ascii_grid2011_Tenure_TOnMot3.asc
,,20161017,x,Tenure,Owner occupied – shared ownership,2011,KS402,KS402EW0004,,2011-OA-attributes-ks402.CSV,TOnShd4,7,,5a_ascii_grid2011_Tenure_TOnShd4.asc
,,20161017,x,Tenure,Rented from Council / Local Authority,2011,KS402,KS402EW0005,,2011-OA-attributes-ks402.CSV,TRentLA5,8,,5a_ascii_grid2011_Tenure_TRentLA5.asc
,,20161017,x,Tenure,Social rented: Other,2011,KS402,KS402EW0006,,2011-OA-attributes-ks402.CSV,TRentOt6,8,,5a_ascii_grid2011_Tenure_TRentHA6.asc
,,20161017,x,Tenure,Private Rented: landlord or letting agency,2011,KS402,KS402EW0007,,2011-OA-attributes-ks402.CSV,TRentPr7,8,,5a_ascii_grid2011_Tenure_TRentOt6.asc
,,20161017,x,Tenure,Private Rented: other,2011,KS402,KS402EW0008,,2011-OA-attributes-ks402.CSV,TRentOt8,8,,5a_ascii_grid2011_Tenure_TRentPr7.asc
,,20161017,x,Tenure,Living rent free,2011,KS402,KS402EW0009,,2011-OA-attributes-ks402.CSV,TRentFr9,8,,5a_ascii_grid2011_Tenure_TRentOt8.asc
,,NA,x,Tenure,Owner occupied,1971,SAS18,c71s18_053,,,TOwnOc3,7,Households per 1000 households,5a_ascii_grid1971_Tenure_TOwnOc3
,,NA,x,Tenure,Rented from Council,1971,SAS18,c71s18_054,,,TRentCn4,8,Households per 1000 households,5a_ascii_grid1971_Tenure_TRentCn4
,,NA,x,Tenure,Rented unfurnished,1971,SAS18,c71s18_055,,,TRentUf5,8,Households per 1000 households,5a_ascii_grid1971_Tenure_TRentUf5
,,NA,x,Tenure,Rented furnished,1971,SAS18,c71s18_056,,,TRentFr6,8,Households per 1000 households,5a_ascii_grid1971_Tenure_TRentFr6
,,NA,x,Tenure,Not stated,1971,SAS18,c71s18_057,,,TRentOt7,8,Households per 1000 households,5a_ascii_grid1971_Tenure_TRentOt7
,,20161017,x,Health,Long term illness in households,1991,SAS12,s120001,,,LLTI1,5,Count of residents,5a_ascii_grid1991_LLTI_LLTI1
,,20161017,x,Health,All people,2001,KS008,ks0080001,,,HAllPpl1,8,'-,5a_ascii_grid2001_Health_HAllPpl1.asc
,,20161017,x,Health,People with limiting long-term illness,2001,KS008,ks0080002,,,HPLLTI2,7,Is 0003 in Scotland,5a_ascii_grid2001_Health_HPLLTI2.asc
,,20161017,x,Health,People of working age with limiting long term illness,2001,KS008,ks0080003,,,HPWLLTI3,8,Is 0004 in Scotland,5a_ascii_grid2001_Health_HPWLLTI3.asc
,,20161017,x,Health,General Health: Good,2001,KS008,ks0080004,,,HGood4,6,Is 0005 in Scotland,5a_ascii_grid2001_Health_HGood4.asc
,,20161017,x,Health,General Health: Fairly good,2001,KS008,ks0080005,,,HFGood5,7,Is 0006 in Scotland,5a_ascii_grid2001_Health_HFGood5.asc
,,20161017,x,Health,General Health: Not good,2001,KS008,ks0080006,,,HNotGd6,7,Is 0007 in Scotland,5a_ascii_grid2001_Health_HNotGd6.asc
,,20161017,x,Health,All categories: Long-term health problem or disability,2011,KS301EW,1,,2011-OA-attributes-ks301,HAllPPpl1,9,,5a_ascii_grid2011_Health_HAllPPpl1.asc
,,20161017,x,Health,Day-to-day activities limited a lot,2011,KS301EW,2,,2011-OA-attributes-ks301,HLtdLot2,8,,5a_ascii_grid2011_Health_HLtdLot2.asc
,,20161017,x,Health,Day-to-day activities limited a little,2011,KS301EW,3,,2011-OA-attributes-ks301,HLtdLtl3,8,,5a_ascii_grid2011_Health_HLtdLtl3.asc
,,20161017,x,Health,Day-to-day activities not limited,2011,KS301EW,4,,2011-OA-attributes-ks301,HLetNot4,8,,5a_ascii_grid2011_Health_HLetNot4.asc
,,20161017,x,Health,Day-to-day activities limited a lot: Age 16 to 64,2011,KS301EW,5,,2011-OA-attributes-ks301,HLtLotW5,8,,5a_ascii_grid2011_Health_HLtLotW5.asc
,,20161017,x,Health,Day-to-day activities limited a little: Age 16 to 64,2011,KS301EW,6,,2011-OA-attributes-ks301,HLtLtlW6,8,,5a_ascii_grid2011_Health_HLtLtlW6.asc
,,20161017,x,Health,Day-to-day activities not limited: Age 16 to 64,2011,KS301EW,7,,2011-OA-attributes-ks301,HLtNotW7,8,,5a_ascii_grid2011_Health_HLtNotW7.asc
,,20161017,x,Health,Very good health,2011,KS301EW,8,,2011-OA-attributes-ks301,HVGood8,7,,5a_ascii_grid2011_Health_HVGood8.asc
,,20161017,x,Health,Good health,2011,KS301EW,9,,2011-OA-attributes-ks301,HGood9,6,,5a_ascii_grid2011_Health_HGood9.asc
,,20161017,x,Health,Fair health,2011,KS301EW,10,,2011-OA-attributes-ks301,HFair10,7,,5a_ascii_grid2011_Health_HFair10.asc
,,20161017,x,Health,Bad health,2011,KS301EW,11,,2011-OA-attributes-ks301,HBad11,6,,5a_ascii_grid2011_Health_HBad11.asc
,,20161017,x,Health,Very bad health,2011,KS301EW,12,,2011-OA-attributes-ks301,HVBad12,7,,5a_ascii_grid2011_Health_HVBad12.asc
